STATE,STATE_FIPS,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,BEGIN_LAT,BEGIN_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,PROP_DAMAGE_USD,ALL_INJ,ALL_DEATH,EVENT_TYPE_F,TOTAL_HARM
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,14.00K,34.71,-80.72,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,"Dispatch reported straight line wind damage, including an awning on Adam Lane, a downed tree on King Mill Road, and powerlines down on Flat Creek Road.",14000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,12.00K,34.72,-80.75,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,Dispatch reported a large carport and shed blown down on Fairfield Street in Lancaster.,12000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,33.86,-80.05,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,EM reported trees down on Pudding Swamp Road.,3000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,33.25,-81.65,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,Savannah River Site wind tower at the North Area measured a 78 mph wind gust. Note...the tower anemometer is 200 feet above the ground.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,33.21,-81.66,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,Savannah River Site wind tower at the K Area measured a 59 mph wind gust.  Note the tower anemometer is 200 feet above the ground.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,6.00K,33.54,-80.2,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,EM reported trees down on Patriot Road and Hwy 260.,6000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,4.00K,33.64,-80.07,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,EM reported trees down on Greeleyville Hwy near Foreston Hwy.,4000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,18.00K,33.99,-81.03,Thunderstorms over Richland County produced 2 to 4 inches of rain within 1 to 2 hours producing flash flooding in Columbia. A couple of vehicles became trapped in the flooding when trying to drive through the flooded areas.,Columbia Police reported flooding at the intersection of Main and Whaley trapping a car.  The occupants escaped before the flood waters rose to 4 feet above the roads.,18000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,16.00K,34.72,-80.75,A few thunderstorms in the Eastern Midlands produced some wind damage taking down trees and powerlines.,Dispatch reported a tree fell onto a home on Fairfield Street in Lancaster.,16000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,16.00K,33.9872,-81.0437,Thunderstorms over Richland County produced 2 to 4 inches of rain within 1 to 2 hours producing flash flooding in Columbia. A couple of vehicles became trapped in the flooding when trying to drive through the flooded areas.,"Richland County EM reported flooding on several streets in downtown Columbia including Harden, Rosewood, Lyon, and Calhoun streets. One car was trapped when the water rose 3 feet above the road. The occupants were able to get safely to higher ground.",16000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,1.00K,33.9102,-80.6532,Thunderstorms over Richland County produced 2 to 4 inches of rain within 1 to 2 hours producing flash flooding in Columbia. A couple of vehicles became trapped in the flooding when trying to drive through the flooded areas.,NWS storm survey found a couple of trees down on Pine Thicket Road.,1000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,4.00K,34.09,-80.95,Rainfall amounts of 1 to 3 inches over central Richland County produced areas of flash flooding in Columbia closing several streets and stranding some vehicles.,Sheriff reported the intersecton of Legrand and Pinnacle Point Drive do to flash flooding.  Water levels were 1 to 3 feet deep.,4000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,2.00K,33.92,-80.36,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Roadway flooding reported by public temporarily closing some.,2000,0,0,Flood,0
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,2.00K,33.93,-80.31,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,SKYWARN spotter reported roadway flooding at US 76 and US 378 temporarily closing them.,2000,0,0,Flood,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,18.00K,33.94,-80.72,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Highway Patrol reported a vehicle encountered a flooded roadway and ended up going off the road into a ditch near Garners Ferry Road and Pond Drive.,18000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,62.00K,33.99,-80.71,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Images relayed from a trained spotter via social media showed road wash outs and flooded landscape. Murray Pond flooded and water went into residential properties.,62000,0,0,Flood,0
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,16.00K,33.94,-80.69,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Business owner reported flooding under Hwy 378 overpass at Hwy 601. Minor water damage to the interior rooms of the business.,16000,0,0,Flood,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,2.00K,33.93,-80.31,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,SKYWARN spotter reported intersection of US 76 and US 378 Flooded and impassable by heavy rains.,2000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,2.00K,33.92,-80.36,Heavy rains over the Midlands of South Carolina produced 2 to 4 inches of accumulation within a few hours causing areas of flash flooding.  Some roads were washed out as a result.,Public reported several roads flooded and closed.,2000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,3.00K,34.7009,-80.7863,Strong to Severe Thunderstorms produced wind damage along with heavy rainfall as cells trained over the same area.,Roadway flooding at Springdale Road and Hillside Avenue.,3000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,5.00K,34.2655,-81.624,Strong to Severe Thunderstorms produced wind damage along with heavy rainfall as cells trained over the same area.,County Sheriff reported several roads closed due to flooding including SC 395 at Glenn Street Extension...Hwy. 76 at Sweet Springs and Lever Road at Whitener Road.,5000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,10.00K,33.9969,-82.5238,Strong to Severe Thunderstorms produced wind damage along with heavy rainfall as cells trained over the same area.,County EM reported multiple road closures including Iron Bridge Road...New Hope Road and Hwy. 823 at Mt. Carmel.,10000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,3.00K,34.3431,-81.7265,Strong to Severe Thunderstorms produced wind damage along with heavy rainfall as cells trained over the same area.,Roadway flooding along Bush River Road in Newberry County.,3000,0,0,Flood,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,34.84,-82.92,Isolated thunderstorms developed across Upstate South Carolina during the evening. A couple of the storms produced brief severe weather in the form of damaging winds.,HAM radio operator reported several trees and power lines blown down near Salem.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,34.65,-82.86,Isolated thunderstorms developed across Upstate South Carolina during the evening. A couple of the storms produced brief severe weather in the form of damaging winds.,HAM radio operator reported several trees and power lines blown down on West Cherry Rd. A wind gust of 49 kts (56 mph) was measured by the ASOS at the nearby Clemson/Oconee County Airport around this time.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,34.54,-82.82,Isolated thunderstorms developed across Upstate South Carolina during the evening. A couple of the storms produced brief severe weather in the form of damaging winds.,Highway patrol reported multiple trees blown down east of Townville.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,3.00K,34.209,-81.9228,Strong to Severe Thunderstorms produced wind damage along with heavy rainfall as cells trained over the same area.,County Dispatch reported roadway closure due to flooding at Pineland Road at Herrington Drive.,3000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,4.00K,34.3744,-81.0958,Strong to Severe Thunderstorms produced wind damage along with heavy rainfall as cells trained over the same area.,County Dispatch reported Washington Street at Moultrie Street was being closed due to flooding.,4000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,15.00K,34.7394,-80.8402,Strong to Severe Thunderstorms produced wind damage along with heavy rainfall as cells trained over the same area.,Sheriff Dispatch reported several roads in the county are impassable to due high water. Portions of Kershaw-Camden Hwy...Shiloh Unity Road and Camp Creek Road were closed due to flooding.,15000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,10.00K,34.2408,-81.6284,Strong to Severe Thunderstorms produced wind damage along with heavy rainfall as cells trained over the same area.,County Sheriff reported two home evacuations due to flash flooding near Scott Creek on the south side of the town of Newberry.,10000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flood,0,0,1,0,0.00K,34.72,-80.77,Rainfall amounts of 1.5 to 2.5 inches over the eastern Midlands and Upper Pee Dee region produced some urban and small stream flooding.  One person died when he tried to cross a flooding area with his pickup truck.  The truck went into the stream after it went off the shoulder which was washed out.,EM reported one fatality when a pickup truck tried to drive through a flooded area and the went onto the shoulder that was washed out. The truck went into the stream and when the driver tried to get out he was carried away.  The incident occurred around 630am.,0,0,1,Flood,1
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,33.58,-80.38,An lone thunderstorm moved through Summerton and produced some strong winds and hail.,Public reported large limbs down and penny size hail 2 miles southwest of Summerton.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Heavy Rain,0,0,0,0,0.00K,34.02,-80.99,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,WLTX relayed video showing several inches of water covering Forest Drive near Beltline.,0,0,0,Heavy Rain,0
SOUTH CAROLINA,45,2015,Heavy Rain,0,0,0,0,0.00K,34.03,-81,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,Highway Patrol reported water covering North Beltline and Beechave...roads were temporarily closed.,0,0,0,Heavy Rain,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,33.87,-81.51,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,Highway Patrol reported trees down on Kestrel Drive and Fairview Road.,3000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,2.00K,33.18,-81.18,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,Dispatch reported a couple of trees down in the Olar area including Hwy 64.,2000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,33.35,-80.68,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,Dispatch reported trees down in Bowman.,3000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,2.00K,33.4,-80.35,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,DOT reported a few trees down in the Eutawville area.,2000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Heavy Rain,0,0,0,0,0.00K,34.02,-80.95,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,RCWINDS gage at Gills Creek near Forest Drive and I-77 showed 2.28 inches of rain between 605 pm and 635 pm.,0,0,0,Heavy Rain,0
SOUTH CAROLINA,45,2015,Heavy Rain,0,0,0,0,0.00K,34.16,-80.9,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,COCORAHS observer SC-RC-62 reported 2.84 inches of rain in the Summit.,0,0,0,Heavy Rain,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,1.00K,34.28,-81.78,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,Dispatch reported a couple of trees down near Belmont Church Road.,1000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,14.00K,34.22,-81.72,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,Dispatch reported multiple trees and powerlines down around the county from Chappells to Silverstreet to Prosperity.,14000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,4.00K,33.94,-80.92,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,Highway Patrol reported a couple of trees down in Columbia including Merrimac Drive and Chilhowie Road.,4000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,4.00K,33.89,-81.5,A squall line of thunderstorms moved south through the Midlands and produced wind damage taking down trees and powerlines.,Highway Patrol reported trees down at Brodie Road and Yorkshire Ct. in Batesburg-Leesville.,4000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,12.00K,34.34,-81.51,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,"SOCIAL MEDIA reported large trees down and tin roof off of a home was pulled back on Keitts Crossroads, SC Hwy 34, and U.S. 176.",12000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,2.00K,34,-80.79,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Highway Patrol reported trees down on Leesburg Road and Harmon Road.,2000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.50K,34.26,-80.47,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Dispatch reported a large tree down on Lucknow Road.,500,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.50K,34.53,-81.25,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Highway Patrol reported a tree down on Lewis Store Road near Old Douglas Road near the community of Blackstock.,500,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,1.00K,34.28,-81.62,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Dispatch reported trees down on Evans Street and McDowell Street in Newberry.,1000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,2.00K,34,-80.82,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Highway Patrol reported trees down on Davis Road and Leesburg Road.,2000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,10.00K,34.4,-81.29,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Highway Patrol reported numerous trees down on Highway 215 and many side roads in the northwest part of the county and around Blair.,10000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,34.1,-80.88,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Highway Patrol reported trees down on Running Fox Road and Leaning Tree Road.,3000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,8.00K,33.9,-80.88,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,DOT reported trees down from Hopkins to Eastover.,8000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,12.00K,33.4292,-80.4968,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Electric Company reported several trees and powerlines down from south of Santee to south of Eutawville.,12000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,2.00K,33.16,-81.21,A few severe storms produced wind damage to structures and trees in Lancaster and Aiken counties.,Dispatch reported a couple of trees down on Crazy Horse Road near Olar.,2000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,33.4033,-80.9167,A few severe storms produced wind damage to structures and trees in Lancaster and Aiken counties.,Highway Patrol reported trees down on Cordova Road and Wesley Grove Road.,3000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,33.35,-81.21,A few severe storms produced wind damage to structures and trees in Lancaster and Aiken counties.,Highway Patrol reported trees down on U.S. 78 and Mt. Zion Road between Blackville and Denmark.,3000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.50K,34.33,-81.49,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Dispatch reported a tree down on U.S. 176 at Big Pine Road.,500,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.50K,34.32,-81.59,Scattered thunderstorms produced strong winds that took down trees and powerlines around the Midlands.,Dispatch reported a tree down on I-26 at MM 73.,500,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,4.00K,34.17,-80.88,"A couple of isolated severe thunderstorms took down some trees and powerlines in Barnwell and Kershaw counties.  Also, a tree in Lexington county fell on a mobile home killing one occupant.",Electric company reported power outages in the Dentsville and eastern Ft. Jackson areas from trees on powerlines.,4000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,8.00K,34.26,-80.61,"A couple of isolated severe thunderstorms took down some trees and powerlines in Barnwell and Kershaw counties.  Also, a tree in Lexington county fell on a mobile home killing one occupant.",Dispatch reported trees down from Camden to Bethune.,8000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,4.00K,33.3113,-81.3369,"A couple of isolated severe thunderstorms took down some trees and powerlines in Barnwell and Kershaw counties.  Also, a tree in Lexington county fell on a mobile home killing one occupant.",Public reported several trees down along SC6-169 between Hwy 37 and Hwy 3 which is between Barnwell and Blackville.,4000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,33.38,-81.104,A few severe storms produced wind damage to structures and trees in Lancaster and Aiken counties.,Highway Patrol reported trees down on Hwy 70 at the Edisto River.,3000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,2.00K,33.38,-81.3973,A few severe storms produced wind damage to structures and trees in Lancaster and Aiken counties.,Highway Patrol reported trees down at Williston Way and Deering Road.,2000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,34.36,-80.31,A few isolated thunderstorms produced some wind damage taking down trees.,Dispatch reported trees down on Old Stagecoach Road near the Chesterfield County line.,3000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,5.00K,33.9875,-81.029,Heavy rainfall across the area produced flash flooding and flooding along area creeks and roadways.,USGS Gage along Rocky Branch Creek crested at 10.07 feet at 800 am. Flood stage is 7.2 feet. This resulted in the intersection of Main Street and Whaley Street to be closed.,5000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Flood,0,0,0,0,0.00K,33.9483,-81.1145,Heavy rainfall across the area produced flash flooding and flooding along area creeks and roadways.,Highway Patrol reported roadway flooding at John M. Hardee Expressway and Lexington Drive.,0,0,0,Flood,0
SOUTH CAROLINA,45,2015,Tornado,0,0,0,0,32.00K,34.1356,-80.1172,A long-lived and organized line of thunderstorms moved into the area from the west during the late afternoon and evening.  Thunderstorms were able to develop and blossom in the warm and increasingly unstable sector ahead of a cold front. Shear values were also notably high.,"A National Weather Service Storm Survey team found evidence of an EF-0 tornado with winds to 75 mph. Two chicken houses were damaged and one other was partially destroyed off of U.S. Highway 401 near the intersection of Lynches River Road. A  trailer near U.S. Highway 401 and West Lynches River Road sustained damage to its underpinning.  Two disease ridden trees alongside the trailer were snapped.  The tornado crossed U.S. Highway 401 knocking down numerous trees. The tornado knocked down more trees which in turn toppled a nearby power pole and power line as it crossed West Lynches Road and lifted. A piece of sheet metal from a chicken house was found 1.75 miles away, in a field off of Hudson Street.",32000,0,0,Tornado,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,10.00K,34.1941,-80.0832,A long-lived and organized line of thunderstorms moved into the area from the west during the late afternoon and evening.  Thunderstorms were able to develop and blossom in the warm and increasingly unstable sector ahead of a cold front. Shear values were also notably high.,A National Weather Service Storm Survey team observed minor roof and shingle damage to a house and shed on Newman Swamp Road. Multiple small trees were also blown over at this location.,10000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,14.00K,33.42,-81.7,A few severe storms produced wind damage to structures and trees in Lancaster and Aiken counties.,Aiken Electric reported trees and powerlines down causing outages in the New Ellenton area. A woman also reported that a microburst moved her motor home 4 feet causing some damage and that there were trees and powerlines down.,14000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,85.00K,34.6304,-80.6774,A few severe storms produced wind damage to structures and trees in Lancaster and Aiken counties.,"EM reported trees and powerlines down, several homes damaged, one with the roof torn off part of the backside of the home, several outbuildings and a turkey barn were badly damaged, and a chain link fence was blown down.",85000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,1.00K,34.1847,-79.4233,"The environment was characterized as highly unstable. Widespread thunderstorms erupted during the extreme heat of the afternoon and persisted into the evening. Initially severe thunderstorms developed on the Piedmont trough and seabreeze boundary. Later, other severe thunderstorms developed along colliding outflow boundaries.",A tree was reported down.,1000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.50K,32.71,-81.23,Strong to severe thunderstorms developed within a warm and moist airmass as a backdoor cold front shifted over southeast South Carolina.,Law enforcement reported a tree down across Steep Bottom Road.,500,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,35.01,-80.94,Scattered thunderstorms developed during the afternoon across northern portions of the Upstate. A series of storms organized into a cluster across Spartanburg County and produced localized severe weather.,County comms reported a tree blown down on a home on E Gregg St and another tree down at Springs St and Hill St. Power lines were also blow down in the area.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,1.00K,33.8244,-79.5004,Convection organized into a line just upstream and moved from west to east across the forecast area. Portions of the line occasionally bowed out. The thunderstorms moved into an environment where there was a great deal of dry air in the mid-levels. Downdraft CAPE values were high and soundings showed a pronounced inverted-V signature.,A tree was reportedly down along Highway 341. The time was estimated based on radar data.,1000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,34.83,-83.03,"Widely scattered thunderstorms developed across the mountains and foothills during the late afternoon and early evening. A couple of storms produced localized large hail and damaging winds across Oconee and Anderson Counties. Some of the storms moved into the lower Piedmont late in the evening, producing urban and small stream flash flooding in the Greenwood area.",Public reported multiple trees blown down in the area around Lecroy Rd and Falcons Dr.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,34.55,-82.78,"Widely scattered thunderstorms developed across the mountains and foothills during the late afternoon and early evening. A couple of storms produced localized large hail and damaging winds across Oconee and Anderson Counties. Some of the storms moved into the lower Piedmont late in the evening, producing urban and small stream flash flooding in the Greenwood area.",County comms reported a tree blown down on I-85 in northwest Anderson County and another tree down on Phillips Rd.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,34.8,-82.85,"Widely scattered thunderstorms developed across the mountains and foothills during the late afternoon and early evening. A couple of storms produced localized large hail and damaging winds across Oconee and Anderson Counties. Some of the storms moved into the lower Piedmont late in the evening, producing urban and small stream flash flooding in the Greenwood area.",HAM radio operator reported trees blown down near the intersection of Stewart Rd and Dan Ross Rd.,0,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,14.00K,34.2858,-80.1905,Scattered thunderstorms produced wind damage around the Midlands and Pee Dee regions taking down trees and powerlines.,"EM reported a couple of trees down on Hebron Church Road and Una Road, two of which fell on some out buildings and a car port.",14000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Flash Flood,0,0,0,0,15.00K,34.2,-82.2,"Widely scattered thunderstorms developed across the mountains and foothills during the late afternoon and early evening. A couple of storms produced localized large hail and damaging winds across Oconee and Anderson Counties. Some of the storms moved into the lower Piedmont late in the evening, producing urban and small stream flash flooding in the Greenwood area.","County comms and the public reported severe urban and small stream flash flooding developed in Greenwood after 2 to 3 inches of rain fell in less than two hours. The bridge over Sample Branch on Dry Branch Ct was flooded. Sweetwater Rd was covered with water when Brightmans Creek overflowed its banks. Urban flooding was reported on the Highway 72 Bypass and in a couple of spots on Main St S. In addition to the flooding, the heavy rain caused about a dozen trees to fall throughout the city, with one tree falling on a vehicle and another on a home.",15000,0,0,Flash Flood,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,18.00K,34.67,-79.94,"Scattered thunderstorms produced some wind damage in Chesterfield and Clarendon counties, mainly taking down trees and some power lines.",EM reported trees down at Tec Road and West Market Street Extension...some of which fell on a couple buildings doing minor damage.,18000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,1.00K,33.8874,-79.7579,"The environment was characterized as highly unstable. Widespread thunderstorms erupted during the extreme heat of the afternoon and persisted into the evening. Initially severe thunderstorms developed on the Piedmont trough and seabreeze boundary. Later, other severe thunderstorms developed along colliding outflow boundaries.",A tree was reportedly down along Highway 52.,1000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,8.00K,34.0387,-79.3322,"The environment was characterized as highly unstable. Widespread thunderstorms erupted during the extreme heat of the afternoon and persisted into the evening. Initially severe thunderstorms developed on the Piedmont trough and seabreeze boundary. Later, other severe thunderstorms developed along colliding outflow boundaries.",Eight trees were reportedly down in roadway in front of Creek Bridge High School. The time was estimated based on radar data.,8000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,3.00K,34.3,-80.55,A couple of thunderstorms took down some trees and large branches in Chesterfield and Kershaw Counties.,Sheriff reported trees down across Cheraw Road near Camden.,3000,0,0,Thunderstorm Wind,0
SOUTH CAROLINA,45,2015,Thunderstorm Wind,0,0,0,0,0.00K,34.6488,-80.0489,A couple of thunderstorms took down some trees and large branches in Chesterfield and Kershaw Counties.,Public reported large branches down on Harpe Hill Road and other areas around Bethesda.,0,0,0,Thunderstorm Wind,0
